Metric,Basic Pitch,MT3
Precision,0.2921785490756063,0.33563444891812666
Recall,0.43833602204745575,0.3435840559252537
F1,0.34420260178181866,0.3271459223281744
Onset Precision,0.3530766325316659,0.45060029113747924
Onset Recall,0.29953632366405697,0.4545337895102449
Onset F1,0.44970844256234455,0.48441386032130135
Onset-Offset F1,0.2014548015125958,0.1790822012079884
