Precision,Recall,F1,Onset Precision,Onset Recall,Onset F1,Onset-Offset F1,Filename
0.0,0.0,0.0,0.25609756097560976,0.16666666666666666,0.5526315789473685,0.0,f1_caro_straight
0.0,0.0,0.0,0.325,0.23214285714285715,0.5416666666666666,0.0,f1_dona_straight
0.0,0.0,0.0,0.3516483516483516,0.25,0.5925925925925926,0.0,f1_row_straight
0.0,0.0,0.0,0.1759259259259259,0.10674157303370786,0.5,0.0,f2_caro_straight
0.019230769230769232,0.041666666666666664,0.02631578947368421,0.4736842105263157,0.34615384615384615,0.75,0.02631578947368421,f2_dona_straight
0.0,0.0,0.0,0.32608695652173914,0.23076923076923078,0.5555555555555556,0.0,f2_row_straight
0.0,0.0,0.0,0.20895522388059698,0.12727272727272726,0.5833333333333334,0.0,f3_dona_straight
0.0,0.0,0.0,0.32432432432432434,0.2553191489361702,0.4444444444444444,0.0,f3_row_straight
0.0,0.0,0.0,0.24277456647398843,0.15555555555555556,0.5526315789473685,0.0,f4_caro_straight
0.0,0.0,0.0,0.4057971014492754,0.3111111111111111,0.5833333333333334,0.0,f4_dona_straight
0.0,0.0,0.0,0.4634146341463415,0.34545454545454546,0.7037037037037037,0.0,f4_row_straight
0.0,0.0,0.0,0.2075471698113208,0.16176470588235295,0.2894736842105263,0.0,f5_caro_straight
0.0,0.0,0.0,0.23703703703703705,0.14414414414414414,0.6666666666666666,0.0,f5_dona_straight
0.0,0.0,0.0,0.24590163934426226,0.15789473684210525,0.5555555555555556,0.0,f5_row_straight
0.0,0.0,0.0,0.27218934911242604,0.17557251908396945,0.6052631578947368,0.0,f6_caro_straight
0.016129032258064516,0.041666666666666664,0.023255813953488372,0.3488372093023256,0.24193548387096775,0.625,0.0,f6_dona_straight
0.0,0.0,0.0,0.3516483516483516,0.25,0.5925925925925926,0.0,f6_row_straight
0.0,0.0,0.0,0.18518518518518517,0.10775862068965517,0.6578947368421053,0.0,f7_caro_straight
0.0,0.0,0.0,0.39130434782608703,0.2647058823529412,0.75,0.0,f7_dona_straight
0.0,0.0,0.0,0.41463414634146345,0.3090909090909091,0.6296296296296297,0.0,f7_row_straight
0.014705882352941176,0.02631578947368421,0.018867924528301886,0.3584905660377359,0.27941176470588236,0.5,0.0,f8_caro_straight
0.019230769230769232,0.041666666666666664,0.02631578947368421,0.34210526315789475,0.25,0.5416666666666666,0.0,f8_dona_straight
0.0,0.0,0.0,0.24,0.1643835616438356,0.4444444444444444,0.0,f8_row_straight
0.0,0.0,0.0,0.32941176470588235,0.2978723404255319,0.3684210526315789,0.0,f9_caro_straight
0.0,0.0,0.0,0.4054054054054054,0.3,0.625,0.0,f9_dona_straight
0.010309278350515464,0.037037037037037035,0.016129032258064516,0.2741935483870968,0.17525773195876287,0.6296296296296297,0.0,f9_row_straight
0.0,0.0,0.0,0.27710843373493976,0.1796875,0.6052631578947368,0.0,m10_caro_straight
0.0,0.0,0.0,0.21714285714285714,0.12582781456953643,0.7916666666666666,0.0,m10_dona_straight
0.0,0.0,0.0,0.28776978417266186,0.17857142857142858,0.7407407407407407,0.0,m10_row_straight
0.0,0.0,0.0,0.1754385964912281,0.10121457489878542,0.6578947368421053,0.0,m11_caro_straight
0.0,0.0,0.0,0.2,0.11764705882352941,0.6666666666666666,0.0,m11_dona_straight
0.0,0.0,0.0,0.3181818181818182,0.2,0.7777777777777778,0.0,m11_row_straight
0.005494505494505495,0.02631578947368421,0.00909090909090909,0.15454545454545457,0.09340659340659341,0.4473684210526316,0.0,m1_caro_straight
0.0,0.0,0.0,0.2689075630252101,0.16842105263157894,0.6666666666666666,0.0,m1_dona_straight
0.0,0.0,0.0,0.2782608695652174,0.18181818181818182,0.5925925925925926,0.0,m1_row_straight
0.0,0.0,0.0,0.19883040935672514,0.12781954887218044,0.4473684210526316,0.0,m2_caro_straight
0.0,0.0,0.0,0.2077922077922078,0.12307692307692308,0.6666666666666666,0.0,m2_dona_straight
0.0,0.0,0.0,0.27672955974842767,0.16666666666666666,0.8148148148148148,0.0,m2_row_straight
