Precision,Recall,F1,Onset Precision,Onset Recall,Onset F1,Onset-Offset F1,TER,Filename
0.20481927710843373,0.4473684210526316,0.2809917355371901,0.2975206611570248,0.21686746987951808,0.47368421052631576,0.1322314049586777,2.289473684210526,f1_caro_straight
0.2222222222222222,0.5833333333333334,0.3218390804597701,0.367816091954023,0.25396825396825395,0.6666666666666666,0.13793103448275862,2.4583333333333335,f1_dona_straight
0.0,0.0,0.0,0.29850746268656714,0.25,0.37037037037037035,0.0,2.4814814814814814,f1_row_straight
0.13114754098360656,0.42105263157894735,0.2,0.2125,0.13934426229508196,0.4473684210526316,0.025,3.3684210526315788,f2_caro_straight
0.34210526315789475,0.5416666666666666,0.4193548387096774,0.48387096774193544,0.39473684210526316,0.625,0.2903225806451613,1.5,f2_dona_straight
0.0,0.0,0.0,0.2622950819672131,0.23529411764705882,0.2962962962962963,0.0,2.259259259259259,f2_row_straight
0.2631578947368421,0.625,0.37037037037037035,0.37037037037037035,0.2631578947368421,0.625,0.22222222222222218,2.125,f3_dona_straight
0.0,0.0,0.0,0.3939393939393939,0.3333333333333333,0.48148148148148145,0.0,2.4444444444444446,f3_row_straight
0.1827956989247312,0.4473684210526316,0.25954198473282447,0.27480916030534347,0.1935483870967742,0.47368421052631576,0.13740458015267173,2.5526315789473686,f4_caro_straight
0.27586206896551724,0.6666666666666666,0.3902439024390244,0.4634146341463415,0.3275862068965517,0.7916666666666666,0.0975609756097561,2.0833333333333335,f4_dona_straight
0.0,0.0,0.0,0.24615384615384617,0.21052631578947367,0.2962962962962963,0.0,2.4074074074074074,f4_row_straight
0.18867924528301888,0.5263157894736842,0.27777777777777773,0.3055555555555556,0.20754716981132076,0.5789473684210527,0.16666666666666666,2.736842105263158,f5_caro_straight
0.20833333333333334,0.4166666666666667,0.2777777777777778,0.36111111111111105,0.2708333333333333,0.5416666666666666,0.2222222222222222,2.1666666666666665,f5_dona_straight
0.0,0.0,0.0,0.4411764705882353,0.36585365853658536,0.5555555555555556,0.0,2.5185185185185186,f5_row_straight
0.13333333333333333,0.3684210526315789,0.1958041958041958,0.20979020979020976,0.14285714285714285,0.39473684210526316,0.06993006993006994,3.026315789473684,f6_caro_straight
0.18333333333333332,0.4583333333333333,0.2619047619047619,0.28571428571428575,0.2,0.5,0.04761904761904761,2.5833333333333335,f6_dona_straight
0.0,0.0,0.0,0.1791044776119403,0.15,0.2222222222222222,0.0,2.4814814814814814,f6_row_straight
0.2222222222222222,0.5263157894736842,0.3125,0.32812500000000006,0.23333333333333334,0.5526315789473685,0.18750000000000003,2.3157894736842106,f7_caro_straight
0.3137254901960784,0.6666666666666666,0.42666666666666664,0.42666666666666664,0.3137254901960784,0.6666666666666666,0.24,1.7916666666666667,f7_dona_straight
0.0,0.0,0.0,0.21212121212121213,0.1794871794871795,0.25925925925925924,0.0,2.4444444444444446,f7_row_straight
0.18518518518518517,0.39473684210526316,0.2521008403361344,0.2689075630252101,0.19753086419753085,0.42105263157894735,0.10084033613445378,2.3421052631578947,f8_caro_straight
0.2826086956521739,0.5416666666666666,0.3714285714285714,0.4,0.30434782608695654,0.5833333333333334,0.14285714285714285,1.9166666666666667,f8_dona_straight
0.0,0.0,0.0,0.2647058823529412,0.21951219512195122,0.3333333333333333,0.0,2.5185185185185186,f8_row_straight
0.391304347826087,0.7105263157894737,0.5046728971962617,0.5233644859813084,0.4057971014492754,0.7368421052631579,0.35514018691588783,1.394736842105263,f9_caro_straight
0.27450980392156865,0.5833333333333334,0.37333333333333335,0.4,0.29411764705882354,0.625,0.2933333333333333,1.9583333333333333,f9_dona_straight
0.0,0.0,0.0,0.22950819672131148,0.20588235294117646,0.25925925925925924,0.0,2.259259259259259,f9_row_straight
0.0,0.0,0.0,0.2517482517482517,0.17142857142857143,0.47368421052631576,0.0,3.763157894736842,m10_caro_straight
0.0,0.0,0.0,0.33707865168539325,0.23076923076923078,0.625,0.0,3.7083333333333335,m10_dona_straight
0.0,0.0,0.0,0.26865671641791045,0.225,0.3333333333333333,0.0,2.4814814814814814,m10_row_straight
0.0,0.0,0.0,0.19780219780219782,0.125,0.47368421052631576,0.0,4.7894736842105265,m11_caro_straight
0.0,0.0,0.0,0.22641509433962262,0.14634146341463414,0.5,0.0,4.416666666666667,m11_dona_straight
0.0,0.0,0.0,0.23076923076923078,0.17647058823529413,0.3333333333333333,0.0,2.888888888888889,m11_row_straight
0.0,0.0,0.0,0.2331288343558282,0.152,0.5,0.0,4.2894736842105265,m1_caro_straight
0.0,0.0,0.0,0.3333333333333333,0.21794871794871795,0.7083333333333334,0.0,4.25,m1_dona_straight
0.0,0.0,0.0,0.2191780821917808,0.17391304347826086,0.2962962962962963,0.0,2.7037037037037037,m1_row_straight
0.0,0.0,0.0,0.2857142857142857,0.18461538461538463,0.631578947368421,0.0,4.421052631578948,m2_caro_straight
0.0,0.0,0.0,0.196078431372549,0.1282051282051282,0.4166666666666667,0.0,4.25,m2_dona_straight
0.0,0.0,0.0,0.30588235294117644,0.22413793103448276,0.48148148148148145,0.0,3.1481481481481484,m2_row_straight
0.0,0.0,0.0,0.16470588235294117,0.10606060606060606,0.3684210526315789,0.0,4.473684210526316,m3_caro_straight
0.0,0.0,0.0,0.20224719101123598,0.13846153846153847,0.375,0.0,3.7083333333333335,m3_dona_straight
0.0,0.0,0.0,0.3333333333333333,0.2549019607843137,0.48148148148148145,0.0,2.888888888888889,m3_row_straight
0.0,0.0,0.0,0.31007751937984496,0.21978021978021978,0.5263157894736842,0.0,3.3947368421052633,m4_caro_straight
0.0,0.0,0.0,0.4,0.2857142857142857,0.6666666666666666,0.0,3.3333333333333335,m4_dona_straight
0.0,0.0,0.0,0.3636363636363637,0.3076923076923077,0.4444444444444444,0.0,2.4444444444444446,m4_row_straight
0.0,0.0,0.0,0.2,0.12878787878787878,0.4473684210526316,0.0,4.473684210526316,m5_caro_straight
0.0,0.0,0.0,0.4,0.2857142857142857,0.6666666666666666,0.0,3.3333333333333335,m5_dona_straight
0.0,0.0,0.0,0.45714285714285713,0.37209302325581395,0.5925925925925926,0.0,2.5925925925925926,m5_row_straight
0.0,0.0,0.0,0.34108527131782945,0.24175824175824176,0.5789473684210527,0.0,3.3947368421052633,m6_caro_straight
0.0,0.0,0.0,0.4615384615384615,0.36585365853658536,0.625,0.0,2.7083333333333335,m6_dona_straight
0.0,0.0,0.0,0.37681159420289856,0.30952380952380953,0.48148148148148145,0.0,2.5555555555555554,m6_row_straight
0.0,0.0,0.0,0.14973262032085563,0.09395973154362416,0.3684210526315789,0.0,4.921052631578948,m7_caro_straight
0.0,0.0,0.0,0.23999999999999996,0.15789473684210525,0.5,0.0,4.166666666666667,m7_dona_straight
0.0,0.0,0.0,0.3582089552238806,0.3,0.4444444444444444,0.0,2.4814814814814814,m7_row_straight
0.0,0.0,0.0,0.2295081967213115,0.14482758620689656,0.5526315789473685,0.0,4.815789473684211,m8_caro_straight
0.0,0.0,0.0,0.3333333333333333,0.22727272727272727,0.625,0.0,3.75,m8_dona_straight
0.0,0.0,0.0,0.04687500000000001,0.03333333333333333,0.07894736842105263,0.0,3.3684210526315788,m9_caro_straight
0.0,0.0,0.0,0.1,0.07142857142857142,0.16666666666666666,0.0,3.3333333333333335,m9_dona_straight
0.0,0.0,0.0,0.030303030303030307,0.02564102564102564,0.037037037037037035,0.0,2.4444444444444446,m9_row_straight
