MFCC Similarity,Embedding Similarity,Filename
0.9814313054084778,0.9601247906684875,f1_caro_straight
0.9781848788261414,0.9587678909301758,f1_dona_straight
0.9732426404953003,0.9558627009391785,f1_row_straight
0.9848123788833618,0.9598304629325867,f2_caro_straight
0.9786751866340637,0.9598226547241211,f2_dona_straight
0.9786863327026367,0.9609787464141846,f2_row_straight
0.982261598110199,0.9647952914237976,f3_dona_straight
0.9841468930244446,0.9591658115386963,f3_row_straight
0.9839453101158142,0.9623833894729614,f4_caro_straight
0.9812613725662231,0.960919976234436,f4_dona_straight
0.9794836044311523,0.9593830704689026,f4_row_straight
0.982414960861206,0.9653167724609375,f5_caro_straight
0.9806452393531799,0.9614595174789429,f5_dona_straight
0.9758545160293579,0.9628123044967651,f5_row_straight
0.9870222210884094,0.9645945429801941,f6_caro_straight
0.9860985279083252,0.9567103981971741,f6_dona_straight
0.9818689823150635,0.9622146487236023,f6_row_straight
0.9816864728927612,0.9638949632644653,f7_caro_straight
0.9829031825065613,0.961639404296875,f7_dona_straight
0.9807674288749695,0.9585142731666565,f7_row_straight
0.9868416786193848,0.9629107117652893,f8_caro_straight
0.9884399771690369,0.9625740051269531,f8_dona_straight
0.9781280755996704,0.9622119069099426,f8_row_straight
0.9763821959495544,0.9649298191070557,f9_caro_straight
0.977558434009552,0.9573596715927124,f9_dona_straight
0.9677265882492065,0.9570444226264954,f9_row_straight
0.982768714427948,0.9515149593353271,m10_caro_straight
0.975963294506073,0.9509570598602295,m10_dona_straight
0.9737836122512817,0.9493668675422668,m10_row_straight
0.9773867130279541,0.953576922416687,m11_caro_straight
0.9786317348480225,0.9515856504440308,m11_dona_straight
0.9720750451087952,0.9504058361053467,m11_row_straight
0.9741023778915405,0.9617971181869507,m1_caro_straight
0.9759930968284607,0.9530091285705566,m1_dona_straight
0.9705154299736023,0.9524608254432678,m1_row_straight
0.9735782146453857,0.9509975910186768,m2_caro_straight
0.9702199101448059,0.9462903141975403,m2_dona_straight
0.9706689715385437,0.9513006806373596,m2_row_straight
0.9848713874816895,0.9579402208328247,m3_caro_straight
0.9802023768424988,0.9564159512519836,m3_dona_straight
0.9861367344856262,0.9552721977233887,m3_row_straight
0.9877039194107056,0.9526206254959106,m4_caro_straight
0.9836789965629578,0.9522582292556763,m4_dona_straight
0.9818329215049744,0.9521494507789612,m4_row_straight
0.9799972176551819,0.9591436386108398,m5_caro_straight
0.9777713418006897,0.954021692276001,m5_dona_straight
0.967889666557312,0.9538072943687439,m5_row_straight
