Precision,Recall,F1,Onset Precision,Onset Recall,Onset F1,Onset-Offset F1,Filename
0.24242424242424243,0.631578947368421,0.35036496350364965,0.35036496350364965,0.24242424242424243,0.631578947368421,0.10218978102189781,f1_caro_straight
0.24242424242424243,0.6666666666666666,0.3555555555555555,0.39999999999999997,0.2727272727272727,0.75,0.13333333333333333,f1_dona_straight
0.22727272727272727,0.37037037037037035,0.2816901408450704,0.2816901408450704,0.22727272727272727,0.37037037037037035,0.1408450704225352,f1_row_straight
0.15503875968992248,0.5263157894736842,0.23952095808383236,0.2634730538922156,0.17054263565891473,0.5789473684210527,0.05988023952095809,f2_caro_straight
0.35714285714285715,0.625,0.45454545454545453,0.5151515151515152,0.40476190476190477,0.7083333333333334,0.3939393939393939,f2_dona_straight
0.3333333333333333,0.48148148148148145,0.3939393939393939,0.3939393939393939,0.3333333333333333,0.48148148148148145,0.12121212121212123,f2_row_straight
0.2318840579710145,0.6666666666666666,0.3440860215053763,0.3440860215053763,0.2318840579710145,0.6666666666666666,0.19354838709677416,f3_dona_straight
0.2553191489361702,0.4444444444444444,0.32432432432432434,0.35135135135135137,0.2765957446808511,0.48148148148148145,0.13513513513513514,f3_row_straight
0.20388349514563106,0.5526315789473685,0.2978723404255319,0.2978723404255319,0.20388349514563106,0.5526315789473685,0.11347517730496455,f4_caro_straight
0.2909090909090909,0.6666666666666666,0.40506329113924044,0.4556962025316456,0.32727272727272727,0.75,0.12658227848101267,f4_dona_straight
0.3170731707317073,0.48148148148148145,0.3823529411764706,0.3529411764705882,0.2926829268292683,0.4444444444444444,0.14705882352941174,f4_row_straight
0.23931623931623933,0.7368421052631579,0.36129032258064514,0.36129032258064514,0.23931623931623933,0.7368421052631579,0.12903225806451615,f5_caro_straight
0.2909090909090909,0.6666666666666666,0.40506329113924044,0.4556962025316456,0.32727272727272727,0.75,0.12658227848101267,f5_dona_straight
0.3404255319148936,0.5925925925925926,0.4324324324324324,0.4324324324324324,0.3404255319148936,0.5925925925925926,0.24324324324324323,f5_row_straight
0.1619047619047619,0.4473684210526316,0.23776223776223776,0.26573426573426573,0.18095238095238095,0.5,0.06993006993006994,f6_caro_straight
0.1774193548387097,0.4583333333333333,0.2558139534883721,0.2558139534883721,0.1774193548387097,0.4583333333333333,0.023255813953488372,f6_dona_straight
0.3548387096774194,0.4074074074074074,0.3793103448275862,0.3793103448275862,0.3548387096774194,0.4074074074074074,0.13793103448275862,f6_row_straight
0.20202020202020202,0.5263157894736842,0.29197080291970806,0.30656934306569344,0.21212121212121213,0.5526315789473685,0.11678832116788322,f7_caro_straight
0.32075471698113206,0.7083333333333334,0.44155844155844154,0.44155844155844154,0.32075471698113206,0.7083333333333334,0.2337662337662338,f7_dona_straight
0.3023255813953488,0.48148148148148145,0.37142857142857144,0.37142857142857144,0.3023255813953488,0.48148148148148145,0.14285714285714285,f7_row_straight
0.2247191011235955,0.5263157894736842,0.31496062992125984,0.3464566929133858,0.24719101123595505,0.5789473684210527,0.09448818897637795,f8_caro_straight
0.2978723404255319,0.5833333333333334,0.39436619718309857,0.5070422535211269,0.3829787234042553,0.75,0.19718309859154928,f8_dona_straight
0.25,0.4444444444444444,0.32,0.3466666666666667,0.2708333333333333,0.48148148148148145,0.10666666666666667,f8_row_straight
0.358974358974359,0.7368421052631579,0.4827586206896552,0.4827586206896552,0.358974358974359,0.7368421052631579,0.3103448275862069,f9_caro_straight
0.27450980392156865,0.5833333333333334,0.37333333333333335,0.4533333333333333,0.3333333333333333,0.7083333333333334,0.24,f9_dona_straight
0.15789473684210525,0.2222222222222222,0.18461538461538463,0.18461538461538463,0.15789473684210525,0.2222222222222222,0.12307692307692308,f9_row_straight
0.0,0.0,0.0,0.2753623188405797,0.19,0.5,0.0,m10_caro_straight
0.0,0.0,0.0,0.37209302325581395,0.25806451612903225,0.6666666666666666,0.0,m10_dona_straight
0.0,0.0,0.0,0.2058823529411765,0.17073170731707318,0.25925925925925924,0.0,m10_row_straight
0.0,0.0,0.0,0.2054054054054054,0.1292517006802721,0.5,0.0,m11_caro_straight
0.0,0.0,0.0,0.2549019607843137,0.16666666666666666,0.5416666666666666,0.0,m11_dona_straight
0.0,0.0,0.0,0.2619047619047619,0.19298245614035087,0.4074074074074074,0.0,m11_row_straight
0.13970588235294118,0.5,0.21839080459770116,0.22988505747126434,0.14705882352941177,0.5263157894736842,0.09195402298850575,m1_caro_straight
0.0,0.0,0.0,0.2765957446808511,0.18571428571428572,0.5416666666666666,0.0,m1_dona_straight
0.0,0.0,0.0,0.3380281690140845,0.2727272727272727,0.4444444444444444,0.0,m1_row_straight
0.0,0.0,0.0,0.32,0.20437956204379562,0.7368421052631579,0.0,m2_caro_straight
0.0,0.0,0.0,0.19999999999999998,0.13157894736842105,0.4166666666666667,0.0,m2_dona_straight
0.0,0.0,0.0,0.24444444444444444,0.1746031746031746,0.4074074074074074,0.0,m2_row_straight
0.0,0.0,0.0,0.21518987341772153,0.14166666666666666,0.4473684210526316,0.0,m3_caro_straight
0.0,0.0,0.0,0.2727272727272727,0.1875,0.5,0.0,m3_dona_straight
0.0,0.0,0.0,0.40540540540540543,0.3191489361702128,0.5555555555555556,0.0,m3_row_straight
0.0,0.0,0.0,0.35384615384615387,0.25,0.6052631578947368,0.0,m4_caro_straight
0.0,0.0,0.0,0.43243243243243246,0.32,0.6666666666666666,0.0,m4_dona_straight
0.0,0.0,0.0,0.40625,0.35135135135135137,0.48148148148148145,0.0,m4_row_straight
