MFCC Similarity,Embedding Similarity,Filename
0.9816111326217651,0.940003514289856,f1_caro_straight
0.9829434156417847,0.9384546279907227,f1_dona_straight
0.9809445738792419,0.9330397248268127,f1_row_straight
0.9867223501205444,0.9424856305122375,f2_caro_straight
0.9897922873497009,0.9437707662582397,f2_dona_straight
0.9786654114723206,0.9447015523910522,f2_row_straight
0.9864848256111145,0.9428985118865967,f3_dona_straight
0.9878063797950745,0.9339849948883057,f3_row_straight
0.9857280850410461,0.9447012543678284,f4_caro_straight
0.9884201288223267,0.9415677189826965,f4_dona_straight
0.9829950928688049,0.937678337097168,f4_row_straight
0.9859718084335327,0.9456843733787537,f5_caro_straight
0.9842967391014099,0.9371107220649719,f5_dona_straight
0.9840701222419739,0.9398728013038635,f5_row_straight
0.9877941012382507,0.9432636499404907,f6_caro_straight
0.9880915880203247,0.9320328235626221,f6_dona_straight
0.9798447489738464,0.9381649494171143,f6_row_straight
0.9903233051300049,0.9445890784263611,f7_caro_straight
0.9927132725715637,0.9386224150657654,f7_dona_straight
0.9862894415855408,0.9336403012275696,f7_row_straight
0.985393762588501,0.9420933127403259,f8_caro_straight
0.9864556789398193,0.938127875328064,f8_dona_straight
0.9861122965812683,0.9381495118141174,f8_row_straight
0.9797037839889526,0.9436479806900024,f9_caro_straight
0.9912944436073303,0.9397543668746948,f9_dona_straight
0.9816157817840576,0.9382942914962769,f9_row_straight
0.9887500405311584,0.9264953136444092,m10_caro_straight
0.9887528419494629,0.9290422201156616,m10_dona_straight
0.9821320176124573,0.9245595932006836,m10_row_straight
0.9814789891242981,0.9280239939689636,m11_caro_straight
0.9802869558334351,0.9273573160171509,m11_dona_straight
0.9752102494239807,0.9229617118835449,m11_row_straight
0.9838871359825134,0.9313074946403503,m1_caro_straight
0.9815694689750671,0.9249302744865417,m1_dona_straight
0.9813789129257202,0.9228954911231995,m1_row_straight
0.9776058793067932,0.9286375045776367,m2_caro_straight
0.9735147356987,0.9255741238594055,m2_dona_straight
0.9798226356506348,0.9245769381523132,m2_row_straight
0.9950876832008362,0.9320610761642456,m3_caro_straight
0.9956799149513245,0.9300506114959717,m3_dona_straight
0.9879843592643738,0.9233971834182739,m3_row_straight
0.9824866056442261,0.9222666621208191,m4_caro_straight
0.9822503328323364,0.925338625907898,m4_dona_straight
0.979806661605835,0.9228676557540894,m4_row_straight
0.9910225868225098,0.9335623383522034,m5_caro_straight
0.9915492534637451,0.9255316853523254,m5_dona_straight
0.9892646670341492,0.9269359707832336,m5_row_straight
0.9883720874786377,0.9375398755073547,m6_caro_straight
0.9890395402908325,0.9356759190559387,m6_dona_straight
0.9892660975456238,0.9326642751693726,m6_row_straight
0.9873735308647156,0.9254566431045532,m7_caro_straight
0.9930585026741028,0.9253355264663696,m7_dona_straight
0.9868205785751343,0.9332464337348938,m7_row_straight
0.975616991519928,0.9237208366394043,m8_caro_straight
0.9805223941802979,0.9276579022407532,m8_dona_straight
0.9926424026489258,0.9431540966033936,m9_caro_straight
0.9920467734336853,0.9432190656661987,m9_dona_straight
0.9916191697120667,0.9373052716255188,m9_row_straight
