MFCC Similarity,Embedding Similarity,Filename
0.9869781732559204,0.9460680484771729,f1_caro_straight
0.978836715221405,0.9452824592590332,f1_dona_straight
0.9701197147369385,0.9416213035583496,f1_row_straight
0.9776607751846313,0.9466848373413086,f2_caro_straight
0.9704550504684448,0.947821319103241,f2_dona_straight
0.9709976315498352,0.9499672055244446,f2_row_straight
0.9834837317466736,0.9523617029190063,f3_dona_straight
0.9817261695861816,0.9450613856315613,f3_row_straight
0.980400562286377,0.9506884813308716,f4_caro_straight
0.9798386096954346,0.9480832815170288,f4_dona_straight
0.9705280065536499,0.942467987537384,f4_row_straight
0.98678058385849,0.9508196711540222,f5_caro_straight
0.9816887378692627,0.9470621943473816,f5_dona_straight
0.9757777452468872,0.9462412595748901,f5_row_straight
0.986090898513794,0.9515716433525085,f6_caro_straight
0.9838393330574036,0.9435254335403442,f6_dona_straight
0.968414306640625,0.944240927696228,f6_row_straight
0.9825887680053711,0.9504032731056213,f7_caro_straight
0.9787255525588989,0.9470428824424744,f7_dona_straight
0.976042628288269,0.9456292986869812,f7_row_straight
0.9852043986320496,0.9520393013954163,f8_caro_straight
0.9844666123390198,0.9484757781028748,f8_dona_straight
0.9796352386474609,0.946403443813324,f8_row_straight
0.9817465543746948,0.9527237415313721,f9_caro_straight
0.9809907078742981,0.9457026720046997,f9_dona_straight
0.9708218574523926,0.9465461373329163,f9_row_straight
0.9665907025337219,0.9374679923057556,m10_caro_straight
0.9661045074462891,0.9366652369499207,m10_dona_straight
0.9485931396484375,0.9353480935096741,m10_row_straight
0.9717127084732056,0.936122477054596,m11_caro_straight
0.9705698490142822,0.9358446002006531,m11_dona_straight
0.9606770277023315,0.9369611740112305,m11_row_straight
0.9775053262710571,0.9406458139419556,m1_caro_straight
0.9739816784858704,0.9345129728317261,m1_dona_straight
0.9645148515701294,0.9368991255760193,m1_row_straight
0.9546234607696533,0.9341756701469421,m2_caro_straight
0.9565761089324951,0.9306755661964417,m2_dona_straight
0.9599897265434265,0.9354344010353088,m2_row_straight
0.9644718170166016,0.9383046627044678,m3_caro_straight
0.9622693061828613,0.9354416131973267,m3_dona_straight
0.9727557897567749,0.9407078623771667,m3_row_straight
0.9783874750137329,0.9350237250328064,m4_caro_straight
0.9727057218551636,0.9357172846794128,m4_dona_straight
0.9623379111289978,0.936601459980011,m4_row_straight
0.9753490686416626,0.9438868761062622,m5_caro_straight
0.9674164652824402,0.9411541819572449,m5_dona_straight
0.9471321105957031,0.9378387331962585,m5_row_straight
0.9657629728317261,0.9445797801017761,m6_caro_straight
0.9580274224281311,0.943527340888977,m6_dona_straight
0.9492158889770508,0.9429830312728882,m6_row_straight
0.9706732630729675,0.9330670237541199,m7_caro_straight
0.9687414169311523,0.9356147646903992,m7_dona_straight
0.9592163562774658,0.9421142339706421,m7_row_straight
0.952138364315033,0.9347211718559265,m8_caro_straight
0.9648934602737427,0.9367560744285583,m8_dona_straight
0.9863326549530029,0.9520217180252075,m9_caro_straight
0.9815590977668762,0.9498577117919922,m9_dona_straight
0.9666740894317627,0.944870114326477,m9_row_straight
