Precision,Recall,F1,Onset Precision,Onset Recall,Onset F1,Onset-Offset F1,Filename
0.0,0.0,0.0,0.20487804878048782,0.12574850299401197,0.5526315789473685,0.0,f1_caro_straight
0.0,0.0,0.0,0.1758241758241758,0.11940298507462686,0.3333333333333333,0.0,f1_dona_straight
0.0,0.0,0.0,0.3185840707964602,0.20930232558139536,0.6666666666666666,0.0,f1_row_straight
0.00784313725490196,0.05263157894736842,0.013651877133105802,0.12286689419795221,0.07058823529411765,0.47368421052631576,0.0,f2_caro_straight
0.0,0.0,0.0,0.38554216867469876,0.2711864406779661,0.6666666666666666,0.0,f2_dona_straight
0.0,0.0,0.0,0.2545454545454546,0.1686746987951807,0.5185185185185185,0.0,f2_row_straight
0.0,0.0,0.0,0.2580645161290323,0.21052631578947367,0.3333333333333333,0.0,f3_dona_straight
0.0,0.0,0.0,0.23529411764705885,0.1724137931034483,0.37037037037037035,0.0,f3_row_straight
0.0,0.0,0.0,0.1878453038674033,0.11888111888111888,0.4473684210526316,0.0,f4_caro_straight
0.0,0.0,0.0,0.35616438356164387,0.2653061224489796,0.5416666666666666,0.0,f4_dona_straight
0.0,0.0,0.0,0.48275862068965514,0.35,0.7777777777777778,0.0,f4_row_straight
0.007633587786259542,0.02631578947368421,0.011834319526627219,0.21301775147928997,0.13740458015267176,0.47368421052631576,0.0,f5_caro_straight
0.011764705882352941,0.041666666666666664,0.01834862385321101,0.3119266055045872,0.2,0.7083333333333334,0.0,f5_dona_straight
0.0,0.0,0.0,0.19999999999999998,0.21739130434782608,0.18518518518518517,0.0,f5_row_straight
0.025,0.05263157894736842,0.03389830508474576,0.2542372881355932,0.1875,0.39473684210526316,0.01694915254237288,f6_caro_straight
0.024390243902439025,0.08333333333333333,0.037735849056603765,0.2641509433962264,0.17073170731707318,0.5833333333333334,0.0,f6_dona_straight
0.0,0.0,0.0,0.3300970873786408,0.2236842105263158,0.6296296296296297,0.0,f6_row_straight
0.0136986301369863,0.05263157894736842,0.021739130434782608,0.17391304347826086,0.1095890410958904,0.42105263157894735,0.0,f7_caro_straight
0.0,0.0,0.0,0.3296703296703297,0.22388059701492538,0.625,0.0,f7_dona_straight
0.0,0.0,0.0,0.1639344262295082,0.14705882352941177,0.18518518518518517,0.0,f7_row_straight
0.013422818791946308,0.05263157894736842,0.021390374331550804,0.17112299465240643,0.10738255033557047,0.42105263157894735,0.010695187165775402,f8_caro_straight
0.0,0.0,0.0,0.425531914893617,0.43478260869565216,0.4166666666666667,0.0,f8_dona_straight
0.0,0.0,0.0,0.13084112149532712,0.0875,0.25925925925925924,0.0,f8_row_straight
0.0,0.0,0.0,0.1044176706827309,0.061611374407582936,0.34210526315789475,0.0,f9_caro_straight
0.01639344262295082,0.041666666666666664,0.023529411764705885,0.2823529411764706,0.19672131147540983,0.5,0.0,f9_dona_straight
0.0,0.0,0.0,0.2758620689655173,0.2,0.4444444444444444,0.0,f9_row_straight
0.0,0.0,0.0,0.21052631578947364,0.13533834586466165,0.47368421052631576,0.0,m10_caro_straight
0.0,0.0,0.0,0.25225225225225223,0.16091954022988506,0.5833333333333334,0.0,m10_dona_straight
0.0,0.0,0.0,0.23157894736842105,0.16176470588235295,0.4074074074074074,0.0,m10_row_straight
0.0,0.0,0.0,0.14705882352941177,0.08547008547008547,0.5263157894736842,0.0,m11_caro_straight
0.0,0.0,0.0,0.2222222222222222,0.15151515151515152,0.4166666666666667,0.0,m11_dona_straight
0.0,0.0,0.0,0.21428571428571427,0.15789473684210525,0.3333333333333333,0.0,m11_row_straight
0.0,0.0,0.0,0.19780219780219782,0.125,0.47368421052631576,0.0,m1_caro_straight
0.0,0.0,0.0,0.29850746268656714,0.23255813953488372,0.4166666666666667,0.0,m1_dona_straight
0.0,0.0,0.0,0.15942028985507245,0.0990990990990991,0.4074074074074074,0.0,m1_row_straight
0.004,0.02631578947368421,0.006944444444444444,0.15972222222222224,0.092,0.6052631578947368,0.0,m2_caro_straight
0.0,0.0,0.0,0.15544041450777202,0.08875739644970414,0.625,0.0,m2_dona_straight
0.0,0.0,0.0,0.21621621621621623,0.14285714285714285,0.4444444444444444,0.0,m2_row_straight
0.0,0.0,0.0,0.1181434599156118,0.07035175879396985,0.3684210526315789,0.0,m3_caro_straight
0.0,0.0,0.0,0.19047619047619047,0.11764705882352941,0.5,0.0,m3_dona_straight
0.0,0.0,0.0,0.2978723404255319,0.208955223880597,0.5185185185185185,0.0,m3_row_straight
0.0,0.0,0.0,0.17391304347826086,0.1095890410958904,0.42105263157894735,0.0,m4_caro_straight
0.0,0.0,0.0,0.31578947368421056,0.2,0.75,0.0,m4_dona_straight
0.0,0.0,0.0,0.23728813559322032,0.21875,0.25925925925925924,0.0,m4_row_straight
0.0,0.0,0.0,0.13114754098360654,0.08275862068965517,0.3157894736842105,0.0,m5_caro_straight
0.0,0.0,0.0,0.2909090909090909,0.18604651162790697,0.6666666666666666,0.0,m5_dona_straight
0.0,0.0,0.0,0.3888888888888889,0.3111111111111111,0.5185185185185185,0.0,m5_row_straight
0.0,0.0,0.0,0.08996539792387544,0.05179282868525897,0.34210526315789475,0.0,m6_caro_straight
0.0,0.0,0.0,0.37037037037037035,0.2631578947368421,0.625,0.0,m6_dona_straight
0.0,0.0,0.0,0.325,0.24528301886792453,0.48148148148148145,0.0,m6_row_straight
0.0,0.0,0.0,0.1255813953488372,0.06887755102040816,0.7105263157894737,0.0,m7_caro_straight
0.0,0.0,0.0,0.14634146341463414,0.10344827586206896,0.25,0.0,m7_dona_straight
