MFCC Similarity,Embedding Similarity,Filename
0.9815726280212402,0.9555566906929016,f1_caro_straight
0.9785411357879639,0.9558104276657104,f1_dona_straight
0.981805682182312,0.9529077410697937,f1_row_straight
0.9801925420761108,0.957314670085907,f2_caro_straight
0.9792968034744263,0.9567474126815796,f2_dona_straight
0.9745851159095764,0.956899881362915,f2_row_straight
0.9835305213928223,0.9622702598571777,f3_dona_straight
0.9854075908660889,0.955354630947113,f3_row_straight
0.9835676550865173,0.959470808506012,f4_caro_straight
0.9826617240905762,0.9590169191360474,f4_dona_straight
0.9814685583114624,0.9544030427932739,f4_row_straight
0.9845471382141113,0.9616912007331848,f5_caro_straight
0.9808306694030762,0.9575580358505249,f5_dona_straight
0.9806077480316162,0.9554758071899414,f5_row_straight
0.9856830835342407,0.9621111154556274,f6_caro_straight
0.9809592962265015,0.9575429558753967,f6_dona_straight
0.9797554612159729,0.955866277217865,f6_row_straight
0.9827759861946106,0.9616689682006836,f7_caro_straight
0.9824336171150208,0.9595237970352173,f7_dona_straight
0.9822544455528259,0.9540155529975891,f7_row_straight
0.9847919940948486,0.9609618186950684,f8_caro_straight
0.9872853755950928,0.9603784680366516,f8_dona_straight
0.9843748211860657,0.9561126828193665,f8_row_straight
0.9773381352424622,0.960920512676239,f9_caro_straight
0.9765536785125732,0.9551265239715576,f9_dona_straight
0.9776817560195923,0.9512583017349243,f9_row_straight
0.9769278168678284,0.9497554302215576,m10_caro_straight
0.9706146121025085,0.9514817595481873,m10_dona_straight
0.9655167460441589,0.9427421689033508,m10_row_straight
0.9779297709465027,0.9504609704017639,m11_caro_straight
0.977622926235199,0.9500353336334229,m11_dona_straight
0.968953549861908,0.9403470754623413,m11_row_straight
0.9782857894897461,0.9530888199806213,m1_caro_straight
0.9748698472976685,0.9509267807006836,m1_dona_straight
0.9669978022575378,0.9430056214332581,m1_row_straight
0.9781150221824646,0.9476397633552551,m2_caro_straight
0.9699699282646179,0.9448471665382385,m2_dona_straight
0.9654659032821655,0.9414224028587341,m2_row_straight
0.9817340970039368,0.9554482698440552,m3_caro_straight
0.9798280000686646,0.9535971879959106,m3_dona_straight
0.9693864583969116,0.9472825527191162,m3_row_straight
0.9845535159111023,0.9507951736450195,m4_caro_straight
0.9803131818771362,0.9515962600708008,m4_dona_straight
0.9772775769233704,0.9421260356903076,m4_row_straight
0.9810714721679688,0.955685555934906,m5_caro_straight
0.9766457080841064,0.9467834234237671,m5_dona_straight
0.9691318273544312,0.9429919123649597,m5_row_straight
0.9729743599891663,0.9568291902542114,m6_caro_straight
0.9707711935043335,0.95579993724823,m6_dona_straight
0.958260715007782,0.9546084403991699,m6_row_straight
0.9746014475822449,0.9482868313789368,m7_caro_straight
0.9745745062828064,0.9488036632537842,m7_dona_straight
0.9602167010307312,0.9436308145523071,m7_row_straight
0.9765642881393433,0.9474643468856812,m8_caro_straight
0.9822824597358704,0.9483996033668518,m8_dona_straight
0.9831930994987488,0.9614803194999695,m9_caro_straight
0.978500485420227,0.9622032642364502,m9_dona_straight
0.9721516370773315,0.9540080428123474,m9_row_straight
