Precision,Recall,F1,Onset Precision,Onset Recall,Onset F1,Onset-Offset F1,Filename
0.0,0.0,0.0,0.2823529411764706,0.18181818181818182,0.631578947368421,0.0,f1_caro_straight
0.0,0.0,0.0,0.3148148148148148,0.20238095238095238,0.7083333333333334,0.0,f1_dona_straight
0.0,0.0,0.0,0.22784810126582278,0.17307692307692307,0.3333333333333333,0.0,f1_row_straight
0.0,0.0,0.0,0.24999999999999997,0.15584415584415584,0.631578947368421,0.0,f2_caro_straight
0.0,0.0,0.0,0.41758241758241754,0.2835820895522388,0.7916666666666666,0.0,f2_dona_straight
0.0,0.0,0.0,0.3373493975903614,0.25,0.5185185185185185,0.0,f2_row_straight
0.0,0.0,0.0,0.25,0.1590909090909091,0.5833333333333334,0.0,f3_dona_straight
0.0,0.0,0.0,0.3820224719101123,0.27419354838709675,0.6296296296296297,0.0,f3_row_straight
0.0,0.0,0.0,0.24120603015075376,0.14906832298136646,0.631578947368421,0.0,f4_caro_straight
0.0,0.0,0.0,0.3584905660377358,0.23170731707317074,0.7916666666666666,0.0,f4_dona_straight
0.0,0.0,0.0,0.46153846153846156,0.35294117647058826,0.6666666666666666,0.0,f4_row_straight
0.0,0.0,0.0,0.2672811059907834,0.16201117318435754,0.7631578947368421,0.0,f5_caro_straight
0.0,0.0,0.0,0.33057851239669417,0.20618556701030927,0.8333333333333334,0.0,f5_dona_straight
0.0,0.0,0.0,0.3181818181818182,0.22950819672131148,0.5185185185185185,0.0,f5_row_straight
0.0,0.0,0.0,0.20202020202020202,0.125,0.5263157894736842,0.0,f6_caro_straight
0.0,0.0,0.0,0.3238095238095238,0.20987654320987653,0.7083333333333334,0.0,f6_dona_straight
0.0,0.0,0.0,0.2820512820512821,0.21568627450980393,0.4074074074074074,0.0,f6_row_straight
0.0,0.0,0.0,0.27225130890052357,0.16993464052287582,0.6842105263157895,0.0,f7_caro_straight
0.0,0.0,0.0,0.37113402061855666,0.2465753424657534,0.75,0.0,f7_dona_straight
0.0,0.0,0.0,0.25,0.18867924528301888,0.37037037037037035,0.0,f7_row_straight
0.0,0.0,0.0,0.24719101123595505,0.15714285714285714,0.5789473684210527,0.0,f8_caro_straight
0.0,0.0,0.0,0.339622641509434,0.21951219512195122,0.75,0.0,f8_dona_straight
0.0,0.0,0.0,0.3146067415730337,0.22580645161290322,0.5185185185185185,0.0,f8_row_straight
0.0,0.0,0.0,0.3862068965517241,0.2616822429906542,0.7368421052631579,0.0,f9_caro_straight
0.0,0.0,0.0,0.3043478260869565,0.20588235294117646,0.5833333333333334,0.0,f9_dona_straight
0.0,0.0,0.0,0.23684210526315788,0.1836734693877551,0.3333333333333333,0.0,f9_row_straight
0.0,0.0,0.0,0.2417582417582418,0.1527777777777778,0.5789473684210527,0.0,m10_caro_straight
0.0,0.0,0.0,0.2905982905982906,0.1827956989247312,0.7083333333333334,0.0,m10_dona_straight
0.0,0.0,0.0,0.30769230769230765,0.23529411764705882,0.4444444444444444,0.0,m10_row_straight
0.0,0.0,0.0,0.18181818181818182,0.10989010989010989,0.5263157894736842,0.0,m11_caro_straight
0.0,0.0,0.0,0.247787610619469,0.15730337078651685,0.5833333333333334,0.0,m11_dona_straight
0.0,0.0,0.0,0.3404255319148936,0.23880597014925373,0.5925925925925926,0.0,m11_row_straight
0.0,0.0,0.0,0.15139442231075698,0.0892018779342723,0.5,0.0,m1_caro_straight
0.0,0.0,0.0,0.27692307692307694,0.16981132075471697,0.75,0.0,m1_dona_straight
0.0,0.0,0.0,0.32941176470588235,0.2413793103448276,0.5185185185185185,0.0,m1_row_straight
0.0,0.0,0.0,0.23076923076923078,0.14583333333333334,0.5526315789473685,0.0,m2_caro_straight
0.0,0.0,0.0,0.12903225806451613,0.08,0.3333333333333333,0.0,m2_dona_straight
0.0,0.0,0.0,0.2342342342342342,0.15476190476190477,0.48148148148148145,0.0,m2_row_straight
0.0,0.0,0.0,0.2115384615384616,0.12941176470588237,0.5789473684210527,0.0,m3_caro_straight
0.0,0.0,0.0,0.26785714285714285,0.17045454545454544,0.625,0.0,m3_dona_straight
0.0,0.0,0.0,0.3132530120481928,0.23214285714285715,0.48148148148148145,0.0,m3_row_straight
0.0,0.0,0.0,0.3050847457627119,0.19424460431654678,0.7105263157894737,0.0,m4_caro_straight
0.0,0.0,0.0,0.3870967741935483,0.2608695652173913,0.75,0.0,m4_dona_straight
0.0,0.0,0.0,0.411764705882353,0.34146341463414637,0.5185185185185185,0.0,m4_row_straight
0.0,0.0,0.0,0.2072072072072072,0.125,0.6052631578947368,0.0,m5_caro_straight
0.0,0.0,0.0,0.28571428571428575,0.2,0.5,0.0,m5_dona_straight
0.0,0.0,0.0,0.37837837837837834,0.2978723404255319,0.5185185185185185,0.0,m5_row_straight
0.0,0.0,0.0,0.25287356321839083,0.16176470588235295,0.5789473684210527,0.0,m6_caro_straight
0.0,0.0,0.0,0.4137931034482759,0.2857142857142857,0.75,0.0,m6_dona_straight
0.0,0.0,0.0,0.3181818181818182,0.22950819672131148,0.5185185185185185,0.0,m6_row_straight
0.0,0.0,0.0,0.19827586206896552,0.11855670103092783,0.6052631578947368,0.0,m7_caro_straight
0.0,0.0,0.0,0.17741935483870966,0.11,0.4583333333333333,0.0,m7_dona_straight
0.0,0.0,0.0,0.34210526315789475,0.2653061224489796,0.48148148148148145,0.0,m7_row_straight
0.0,0.0,0.0,0.187192118226601,0.11515151515151516,0.5,0.0,m8_caro_straight
0.0,0.0,0.0,0.29310344827586204,0.18478260869565216,0.7083333333333334,0.0,m8_dona_straight
0.0,0.0,0.0,0.06698564593301436,0.04093567251461988,0.18421052631578946,0.0,m9_caro_straight
0.0,0.0,0.0,0.07207207207207207,0.04597701149425287,0.16666666666666666,0.0,m9_dona_straight
0.0,0.0,0.0,0.09302325581395349,0.06779661016949153,0.14814814814814814,0.0,m9_row_straight
