Precision,Recall,F1,Onset Precision,Onset Recall,Onset F1,Onset-Offset F1,TER,Filename
0.0787037037037037,0.4473684210526316,0.13385826771653545,0.1496062992125984,0.08796296296296297,0.5,0.05511811023622047,5.7894736842105265,f1_caro_straight
0.21875,0.2916666666666667,0.25,0.32142857142857145,0.28125,0.375,0.14285714285714288,1.75,f1_dona_straight
0.203125,0.48148148148148145,0.2857142857142857,0.32967032967032966,0.234375,0.5555555555555556,0.15384615384615383,2.4074074074074074,f1_row_straight
0.08,0.2631578947368421,0.12269938650306748,0.15950920245398773,0.104,0.34210526315789475,0.024539877300613498,3.763157894736842,f2_caro_straight
0.26666666666666666,0.5,0.3478260869565218,0.3768115942028985,0.28888888888888886,0.5416666666666666,0.2898550724637681,1.875,f2_dona_straight
0.3111111111111111,0.5185185185185185,0.3888888888888889,0.3888888888888889,0.3111111111111111,0.5185185185185185,0.19444444444444445,1.6296296296296295,f2_row_straight
0.2222222222222222,0.5833333333333334,0.3218390804597701,0.3448275862068965,0.23809523809523808,0.625,0.1839080459770115,2.4583333333333335,f3_dona_straight
0.09876543209876543,0.2962962962962963,0.14814814814814814,0.2037037037037037,0.13580246913580246,0.4074074074074074,0.05555555555555555,3.4074074074074074,f3_row_straight
0.15714285714285714,0.2894736842105263,0.20370370370370372,0.25925925925925924,0.2,0.3684210526315789,0.11111111111111112,2.263157894736842,f4_caro_straight
0.12,0.375,0.18181818181818182,0.2626262626262626,0.17333333333333334,0.5416666666666666,0.10101010101010101,3.375,f4_dona_straight
0.4666666666666667,0.5185185185185185,0.4912280701754386,0.5964912280701755,0.5666666666666667,0.6296296296296297,0.3508771929824561,1.0740740740740742,f4_row_straight
0.03225806451612903,0.18421052631578946,0.054901960784313725,0.10196078431372549,0.059907834101382486,0.34210526315789475,0.023529411764705882,6.342105263157895,f5_caro_straight
0.15853658536585366,0.5416666666666666,0.2452830188679245,0.32075471698113206,0.2073170731707317,0.7083333333333334,0.1320754716981132,3.3333333333333335,f5_dona_straight
0.21333333333333335,0.5925925925925926,0.3137254901960784,0.37254901960784315,0.25333333333333335,0.7037037037037037,0.13725490196078433,2.5925925925925926,f5_row_straight
0.12631578947368421,0.3157894736842105,0.18045112781954886,0.19548872180451127,0.1368421052631579,0.34210526315789475,0.06015037593984962,2.8684210526315788,f6_caro_straight
0.112,0.5833333333333334,0.18791946308724833,0.25503355704697983,0.152,0.7916666666666666,0.10738255033557047,5.041666666666667,f6_dona_straight
0.1506849315068493,0.4074074074074074,0.22,0.3,0.2054794520547945,0.5555555555555556,0.1,2.888888888888889,f6_row_straight
0.09090909090909091,0.2894736842105263,0.13836477987421383,0.17610062893081763,0.11570247933884298,0.3684210526315789,0.03773584905660377,3.6052631578947367,f7_caro_straight
0.25862068965517243,0.625,0.3658536585365854,0.3658536585365854,0.25862068965517243,0.625,0.14634146341463414,2.1666666666666665,f7_dona_straight
0.22916666666666666,0.4074074074074074,0.2933333333333333,0.39999999999999997,0.3125,0.5555555555555556,0.16,1.962962962962963,f7_row_straight
0.2222222222222222,0.3684210526315789,0.27722772277227725,0.31683168316831684,0.25396825396825395,0.42105263157894735,0.13861386138613863,1.9210526315789473,f8_caro_straight
0.16901408450704225,0.5,0.25263157894736843,0.3157894736842105,0.2112676056338028,0.625,0.14736842105263157,2.9583333333333335,f8_dona_straight
0.1724137931034483,0.37037037037037035,0.23529411764705885,0.2588235294117647,0.1896551724137931,0.4074074074074074,0.047058823529411764,2.4074074074074074,f8_row_straight
0.16071428571428573,0.23684210526315788,0.19148936170212766,0.2553191489361702,0.21428571428571427,0.3157894736842105,0.0851063829787234,2.0,f9_caro_straight
0.2619047619047619,0.4583333333333333,0.33333333333333337,0.3939393939393939,0.30952380952380953,0.5416666666666666,0.2121212121212121,1.8333333333333333,f9_dona_straight
0.22916666666666666,0.4074074074074074,0.2933333333333333,0.32,0.25,0.4444444444444444,0.18666666666666668,1.962962962962963,f9_row_straight
0.005235602094240838,0.02631578947368421,0.008733624454148473,0.16593886462882096,0.09947643979057591,0.5,0.0,5.973684210526316,m10_caro_straight
0.0,0.0,0.0,0.24277456647398843,0.14093959731543623,0.875,0.0,7.208333333333333,m10_dona_straight
0.0,0.0,0.0,0.22695035460992907,0.14035087719298245,0.5925925925925926,0.0,5.222222222222222,m10_row_straight
0.0,0.0,0.0,0.16289592760180993,0.09836065573770492,0.47368421052631576,0.0,5.815789473684211,m11_caro_straight
0.007246376811594203,0.041666666666666664,0.01234567901234568,0.22222222222222218,0.13043478260869565,0.75,0.0,6.666666666666667,m11_dona_straight
0.020202020202020204,0.07407407407407407,0.03174603174603175,0.28571428571428575,0.18181818181818182,0.6666666666666666,0.0,4.518518518518518,m11_row_straight
0.07971014492753623,0.2894736842105263,0.12499999999999999,0.1477272727272727,0.09420289855072464,0.34210526315789475,0.05681818181818182,4.105263157894737,m1_caro_straight
0.008130081300813009,0.041666666666666664,0.013605442176870748,0.24489795918367344,0.14634146341463414,0.75,0.0,6.041666666666667,m1_dona_straight
0.01282051282051282,0.037037037037037035,0.01904761904761905,0.2476190476190476,0.16666666666666666,0.48148148148148145,0.0,3.814814814814815,m1_row_straight
0.0,0.0,0.0,0.18556701030927839,0.11538461538461539,0.47368421052631576,0.0,5.105263157894737,m2_caro_straight
0.0,0.0,0.0,0.272,0.16831683168316833,0.7083333333333334,0.0,5.208333333333333,m2_dona_straight
0.0,0.0,0.0,0.10344827586206896,0.057034220532319393,0.5555555555555556,0.0,10.74074074074074,m2_row_straight
